Terms,Meanings,Meanings,Meanings,Meanings,Meanings,Meanings,Meanings
Day 19, ,,,,,,
comparatively,"syn: Moderately, relatively, somewhat",comparatively few disasters,kısmen [zf.],nispeten [zf.],,,
decline,"syn: Decrease, weaken",population declines,azalma [i.],düşüş [i.],azalmak [f.],zayıflamak [f.],
establish,"syn: Set up, found",establish a base,kurmak [f.],tesis etmek [f.],,,
flooding,"syn: Deluge, torrent",massive flooding,sel [i.],su baskını [i.],,,
indicate,"syn: Point out, suggest, show",indicate that,işaret etmek [f.],belirtmek [f.],göstermek [f.],,
boost,"syn: Increase, improve, enhance",boost renewable energy,yükseltmek [f.],artırmak [f.],geliştirmek [f.],,
conservation,"syn: Upkeep, preservation, maintenance, protection",conservation areas,koruma [i.],muhafaza [i.],,,
persistent,"syn: Constant, permanent, lasting",persistent winds,kalıcı [s.],devamlı [s.],,,
contamination,syn: Pollution,water contamination,kirlenme [i.],kirlilik [i.],,,
threat,"syn: Danger, risk, hazard, menace",threat to life,tehdit [i.],gözdağı [i.],,,
verify,"syn: Confirm, prove, validate",verify ozone depletion,doğrulamak [f.],kanıtlamak [f.],teyit etmek [f.],,
experiment,"syn: Trial, test",experiment results,deney [i.],,,,
fatal,"syn: Deadly, lethal",fatal contamination,ölümcül [s.],öldürücü [s.],,,
eventual,"syn: Ultimate, final, last",eventual version,nihai [s.],son [s.],,,
density,"syn: Thickness, mass",density of methane,yoğunluk [i.],öz kütle [i.],,,
endanger,"syn: Put in danger, imperil, jeopardize",endanger life,tehlikeye atmak [f.],,,,
decay,"syn: Decompose, rot, spoil",organic material decays,çürümek [f.],bozulmak [f.],çürük [s.],,
estimate,"syn: Approximate, guess",estimate that,tahmin etmek [f.],hesap etmek [f.],,,
lightning,syn: Flash of light in the sky,,şimşek [i.],yıldırım [i.],,,
inquiry,"syn: Analysis, survey, investigation",inquiry and observation,anket [i.],sorgulama [i.],tahkikat [i.],,
Day 20, ,,,,,,
pollute,syn: Contaminate,pollute the atmosphere,kirletmek [f.],,,,
stability,"syn: Constancy, steadiness",stability of the ecosystem,kararlılık [i.],istikrar [i.],,,
unstable,"syn: Irrational, ambiguous",unstable conditions,istikrarsız [s.],kararsız [s.],,,
mitigate,"syn: Alleviate, diminish",mitigate effects of climate change,hafifletmek [f.],azaltmak [f.],,,
visibility,"syn: Sight, vision",poor visibility,görüş mesafesi [i.],görünürlük [i.],,,
undeniable,"syn: Irrefutable, indisputable",undeniable effects,inkâr edilemez [s.],kesin [s.],,,
sensible,"syn: Reasonable, plausible, logical",sensible heat flux,akla uygun [s.],mantıklı [s.],,,
hazard,"syn: Danger, threat, risk, peril",pose hazards to,tehlike [i.],risk [i.],,,
urge,"syn: Advise, recommend, suggest, force",urge sb to do,tavsiye etmek [f.],zorlamak [f.],,,
earthquake,"syn: Tremor, shaking",earthquake occurs,deprem [i.],sarsıntı [i.],,,
regardless of,syn: Irrespective of,regardless of the method,-e bakılmaksızın [edat],,,,
lessen,"syn: Lower, reduce",lessen the need for,azaltmak [f.],hafifletmek [f.],,,
harmful,"syn: Damaging, dangerous, destructive, detrimental",harmful effects/plants,zararlı [s.],,,,
evolution,"syn: Development, growth, progress",human evolution,evrim [i.],gelişim [i.],,,
efficiency,"syn: Effectiveness, productivity",efficiency of solar panels,verimlilik [i.],etkililik [i.],,,
