Terms,Meanings,Meanings,Meanings,Meanings,Meanings,Meanings,Meanings
Day 55,,,,,,,
account for,"syn: explain, constitute, represent",account for 30% of,oluşturmak [f.],tekabül etmek (sayısal veri) [f.],açıklamak [f.],,
back up,"syn: support, confirm",back up a claim,desteklemek [f.],,,,
be based on / upon,"syn: be founded on, rely on",be based on evidence,-e dayalı olmak [f.],-i temel almak [f.],,,
be made up of,"syn: consist of, be composed of",be made up of cells,-den oluşmak [f.],içermek [f.],kapsamak [f.],,
break down,"syn: collapse, fail, stop working",machines break down,bozulmak [f.],çalışmamak [f.],kırılmak [f.],,
break into,syn: enter by force,break into a system,zorla girmek [f.],,,,
break out,"syn: erupt, start suddenly",a fire breaks out,patlak vermek [f.],"çıkmak (savaş, yangın) [f.]",,,
break through,"syn: penetrate, overcome",break through barriers,delip geçmek [f.],"üstesinden gelmek (engel, bariyer, problem) [f.]",,,
bring about / on,"syn: cause, lead to, result in",bring about climate change,sebep olmak [f.],neden olmak [f.],,,
bring down,"syn: reduce, lower, decrease",bring down costs,düşürmek [f.],azaltmak [f.],aşağı çekmek [f.],,
bring up,"syn: raise, mention",bring up an issue,"gündeme getirmek (konu, mesele) [f.]",büyütmek [f.],,,
bring out,"syn: release, publish, launch",bring out a new product,piyasaya sürmek [f.],,,,
blow up,"syn: explode, inflate",a storm blows up,çıkmak (fırtına) [f.],şişirmek [f.],patlamak [f.],,
call for,"syn: require, demand",call for further research,çağrıda bulunmak [f.],gerektirmek [f.],,,
call off,"syn: cancel, abandon",call off a project,iptal etmek [f.],vazgeçmek [f.],,,
carry on,"syn: continue, maintain",carry on research,devam etmek [f.],sürdürmek [f.],,,
carry out,"syn: perform, conduct, implement",carry out experiments,yürütmek [f.],yerine getirmek [f.],"icra etmek (araştırma, deney) [f.]",,
catch up (with),"syn: reach the same level, overtake",catch up with technology,arayı kapatmak [f.],yakalamak [f.],,,
come about,"syn: happen, occur",changes come about,meydana gelmek [f.],ortaya çıkmak [f.],,,
come across,"syn: encounter, run into",come across evidence,karşılaşmak [f.],rastlaşmak [f.],,,
come up with,"syn: propose, produce, find",come up with a solution,ortaya atmak [f.],sunmak [f.],"bulmak (icat, çözüm, fikir) [f.]",,
count on / upon,"syn: rely on, depend on",count on support,güvenmek [f.],bel bağlamak [f.],,,
cut down on,"syn: reduce, decrease",cut down on emissions,kısmak [f.],azaltmak [f.],,,
depend on / upon,"syn: rely on, be determined by",depend on temperature,-e bağlı olmak [f.],dayanmak [f.],güvenmek [f.],,
die out,"syn: become extinct, disappear",species die out,nesli tükenmek [f.],yok olmak [f.],,,
do away with,"syn: abolish, eliminate",do away with old methods,yürürlükten kaldırmak [f.],ortadan kaldırmak [f.],,,
draw on,"syn: use, utilize, make use of",draw on previous studies,faydalanmak [f.],yararlanmak [f.],kullanmak [f.],,
drop by/in,syn: visit briefly,drop by a laboratory,uğramak [f.],,,,
embark on,"syn: start, begin, undertake",embark on a project,bir işe girişmek [f.],başlamak [f.],,,
end up with,"syn: finish with, result in",end up with a result,nihayetinde ... olmak [f.],kendini bir yerde/durumda bulmak [f.],,,
fall behind,syn: lag behind,fall behind schedule,geride kalmak [f.],arkada kalmak [f.],,,
figure out,"syn: understand, solve",figure out the cause,çözmek [f.],anlamak [f.],,,
find out,"syn: discover, learn",find out why,ortaya çıkarmak [f.],keşfetmek [f.],bulmak [f.],,
get along with,"syn: have good relations, agree",get along with others,iyi geçinmek [f.],anlaşmak [f.],,,
